condition,samplesize,iteration,correlation
maximize,1000,10,0.5493
maximize,1000,1,0.5455
maximize,1000,2,0.5495
maximize,1000,3,0.5502
maximize,1000,4,0.5482
maximize,1000,5,0.5461
maximize,1000,6,0.5475
maximize,1000,7,0.5471
maximize,1000,8,0.5526
maximize,1000,9,0.5494
maximize,100,10,0.6397
maximize,100,1,0.6430
maximize,100,2,0.6263
maximize,100,3,0.6421
maximize,100,4,0.6409
maximize,100,5,0.6339
maximize,100,6,0.6374
maximize,100,7,0.6212
maximize,100,8,0.6371
maximize,100,9,0.6431
maximize,200,10,0.6002
maximize,200,1,0.5935
maximize,200,2,0.5924
maximize,200,3,0.5978
maximize,200,4,0.6068
maximize,200,5,0.5982
maximize,200,6,0.6012
maximize,200,7,0.5961
maximize,200,8,0.6066
maximize,200,9,0.5993
maximize,300,10,0.5887
maximize,300,1,0.5811
maximize,300,2,0.5838
maximize,300,3,0.5839
maximize,300,4,0.5839
maximize,300,5,0.5918
maximize,300,6,0.5777
maximize,300,7,0.5826
maximize,300,8,0.5812
maximize,300,9,0.5910
maximize,400,10,0.5792
maximize,400,1,0.5799
maximize,400,2,0.5699
maximize,400,3,0.5711
maximize,400,4,0.5696
maximize,400,5,0.5726
maximize,400,6,0.5822
maximize,400,7,0.5711
maximize,400,8,0.5735
maximize,400,9,0.5669
maximize,500,10,0.5652
maximize,500,1,0.5682
maximize,500,2,0.5645
maximize,500,3,0.5667
maximize,500,4,0.5655
maximize,500,5,0.5703
maximize,500,6,0.5666
maximize,500,7,0.5655
maximize,500,8,0.5650
maximize,500,9,0.5715
maximize,600,10,0.5660
maximize,600,1,0.5589
maximize,600,2,0.5676
maximize,600,3,0.5602
maximize,600,4,0.5617
maximize,600,5,0.5656
maximize,600,6,0.5655
maximize,600,7,0.5603
maximize,600,8,0.5641
maximize,600,9,0.5621
maximize,700,10,0.5602
maximize,700,1,0.5570
maximize,700,2,0.5620
maximize,700,3,0.5583
maximize,700,4,0.5627
maximize,700,5,0.5560
maximize,700,6,0.5553
maximize,700,7,0.5612
maximize,700,8,0.5587
maximize,700,9,0.5600
maximize,800,10,0.5552
maximize,800,1,0.5568
maximize,800,2,0.5589
maximize,800,3,0.5528
maximize,800,4,0.5543
maximize,800,5,0.5500
maximize,800,6,0.5607
maximize,800,7,0.5534
maximize,800,8,0.5566
maximize,800,9,0.5589
maximize,900,10,0.5541
maximize,900,1,0.5558
maximize,900,2,0.5506
maximize,900,3,0.5501
maximize,900,4,0.5498
maximize,900,5,0.5533
maximize,900,6,0.5543
maximize,900,7,0.5500
maximize,900,8,0.5503
maximize,900,9,0.5507
minimize,1000,10,0.4867
minimize,1000,1,0.4864
minimize,1000,2,0.4864
minimize,1000,3,0.4873
minimize,1000,4,0.4885
minimize,1000,5,0.4839
minimize,1000,6,0.4842
minimize,1000,7,0.4787
minimize,1000,8,0.4791
minimize,1000,9,0.4837
minimize,100,10,0.3796
minimize,100,1,0.3665
minimize,100,2,0.3848
minimize,100,3,0.3789
minimize,100,4,0.3856
minimize,100,5,0.3791
minimize,100,6,0.3781
minimize,100,7,0.3640
minimize,100,8,0.3775
minimize,100,9,0.3732
minimize,200,10,0.4134
minimize,200,1,0.4238
minimize,200,2,0.4220
minimize,200,3,0.4266
minimize,200,4,0.4335
minimize,200,5,0.4230
minimize,200,6,0.4193
minimize,200,7,0.4258
minimize,200,8,0.4284
minimize,200,9,0.4262
minimize,300,10,0.4475
minimize,300,1,0.4398
minimize,300,2,0.4470
minimize,300,3,0.4427
minimize,300,4,0.4481
minimize,300,5,0.4493
minimize,300,6,0.4477
minimize,300,7,0.4482
minimize,300,8,0.4450
minimize,300,9,0.4469
minimize,400,10,0.4599
minimize,400,1,0.4578
minimize,400,2,0.4527
minimize,400,3,0.4555
minimize,400,4,0.4543
minimize,400,5,0.4578
minimize,400,6,0.4539
minimize,400,7,0.4609
minimize,400,8,0.4610
minimize,400,9,0.4616
minimize,500,10,0.4661
minimize,500,1,0.4574
minimize,500,2,0.4649
minimize,500,3,0.4560
minimize,500,4,0.4648
minimize,500,5,0.4616
minimize,500,6,0.4663
minimize,500,7,0.4666
minimize,500,8,0.4594
minimize,500,9,0.4662
minimize,600,10,0.4655
minimize,600,1,0.4649
minimize,600,2,0.4715
minimize,600,3,0.4668
minimize,600,4,0.4705
minimize,600,5,0.4719
minimize,600,6,0.4705
minimize,600,7,0.4665
minimize,600,8,0.4655
minimize,600,9,0.4763
minimize,700,10,0.4769
minimize,700,1,0.4804
minimize,700,2,0.4734
minimize,700,3,0.4774
minimize,700,4,0.4792
minimize,700,5,0.4740
minimize,700,6,0.4766
minimize,700,7,0.4772
minimize,700,8,0.4796
minimize,700,9,0.4700
minimize,800,10,0.4755
minimize,800,1,0.4780
minimize,800,2,0.4764
minimize,800,3,0.4795
minimize,800,4,0.4798
minimize,800,5,0.4715
minimize,800,6,0.4794
minimize,800,7,0.4769
minimize,800,8,0.4775
minimize,800,9,0.4849
minimize,900,10,0.4854
minimize,900,1,0.4809
minimize,900,2,0.4848
minimize,900,3,0.4852
minimize,900,4,0.4805
minimize,900,5,0.4841
minimize,900,6,0.4856
minimize,900,7,0.4856
minimize,900,8,0.4771
minimize,900,9,0.4821
